category,name,url,id,description,image_url
Software,Google Chrome Enterprise (Non-Profit),https://catalog.appdirect.com/en-US/apps/289991/google-chrome-enterprise-(non-profit),289991,"Google Chrome Enterprise (Non-Profit)
Scalable solution for non-profits including management console, security & productivity tools.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/289991/thumbs_64/img6616905161403113056.png
Software,Google Chrome Enterprise (Non-Profit),,,,
Software,Google Chrome Enterprise (Non-Profit),,,,
Software,Google Chrome Enterprise (Non-Profit),,,"Google Chrome Enterprise (Non-Profit)
Scalable solution for non-profits including management console, security & productivity tools.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/289991/thumbs_64/img6616905161403113056.png
Software,Google Chrome Enterprise (Non-Profit),,,"Google Chrome Enterprise (Non-Profit)
Scalable solution for non-profits including management console, security & productivity tools.",
Software,Google Chrome Enterprise (Non-Profit),,,"Google Chrome Enterprise (Non-Profit)
Scalable solution for non-profits including management console, security & productivity tools.",
Software,Google Chrome Enterprise (Non-Profit),,,,
Software,Google Chrome Enterprise (Non-Profit),,,,
Software,"Scalable solution for non-profits including management console, security & productivity tools.",,,,
Software,From $38.00,,,,
Software,(1365),,,,
Software,(1365),,,,
Software,Compare,,,,
Software,Google Chrome Education Upgrade - Perpetual License,https://catalog.appdirect.com/en-US/apps/412047/google-chrome-education-upgrade---perpetual-license,412047,"Google Chrome Education Upgrade - Perpetual License
Empower IT to create educational environments for users to thrive in with enhanced management & support.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/412047/thumbs_64/img7247957010159695743.png
Software,Google Chrome Education Upgrade - Perpetual License,,,,
Software,Google Chrome Education Upgrade - Perpetual License,,,,
Software,Google Chrome Education Upgrade - Perpetual License,,,"Google Chrome Education Upgrade - Perpetual License
Empower IT to create educational environments for users to thrive in with enhanced management & support.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/412047/thumbs_64/img7247957010159695743.png
Software,Google Chrome Education Upgrade - Perpetual License,,,"Google Chrome Education Upgrade - Perpetual License
Empower IT to create educational environments for users to thrive in with enhanced management & support.",
Software,Google Chrome Education Upgrade - Perpetual License,,,"Google Chrome Education Upgrade - Perpetual License
Empower IT to create educational environments for users to thrive in with enhanced management & support.",
Software,Google Chrome Education Upgrade - Perpetual License,,,,
Software,Google Chrome Education Upgrade - Perpetual License,,,,
Software,Empower IT to create educational environments for users to thrive in with enhanced management & support.,,,,
Software,From $38.00,,,,
Software,(1366),,,,
Software,(1366),,,,
Software,Compare,,,,
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,https://catalog.appdirect.com/en-US/apps/412049/google-chrome-enterprise-upgrade---1-year-licensesupport,412049,"Google Chrome Enterprise Upgrade - 1 Year License/Support
Advanced security that keeps corporate data safe and ensures flexible access to resources.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/412049/thumbs_64/img808952916922519161.png
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,,
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,,
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,"Google Chrome Enterprise Upgrade - 1 Year License/Support
Advanced security that keeps corporate data safe and ensures flexible access to resources.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/412049/thumbs_64/img808952916922519161.png
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,"Google Chrome Enterprise Upgrade - 1 Year License/Support
Advanced security that keeps corporate data safe and ensures flexible access to resources.",
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,"Google Chrome Enterprise Upgrade - 1 Year License/Support
Advanced security that keeps corporate data safe and ensures flexible access to resources.",
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,,
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,,
Software,Advanced security that keeps corporate data safe and ensures flexible access to resources.,,,,
Software,From $50.00 / Year,,,,
Software,(1365),,,,
Software,(1365),,,,
Software,Compare,,,,
Software,Google Chrome Enterprise (Education),https://catalog.appdirect.com/en-US/apps/327100/google-chrome-enterprise-(education),327100,"Google Chrome Enterprise (Education)
Secure platform for schools that includes web filtering, app management & collaboration tools.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/327100/thumbs_64/img8054425051735103207.png
Software,Google Chrome Enterprise (Education),,,,
Software,Google Chrome Enterprise (Education),,,,
Software,Google Chrome Enterprise (Education),,,"Google Chrome Enterprise (Education)
Secure platform for schools that includes web filtering, app management & collaboration tools.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/327100/thumbs_64/img8054425051735103207.png
Software,Google Chrome Enterprise (Education),,,"Google Chrome Enterprise (Education)
Secure platform for schools that includes web filtering, app management & collaboration tools.",
Software,Google Chrome Enterprise (Education),,,"Google Chrome Enterprise (Education)
Secure platform for schools that includes web filtering, app management & collaboration tools.",
Software,Google Chrome Enterprise (Education),,,,
Software,Google Chrome Enterprise (Education),,,,
Software,"Secure platform for schools that includes web filtering, app management & collaboration tools.",,,,
Software,From $38.00,,,,
Software,(1366),,,,
Software,(1366),,,,
Software,Compare,,,,
Software,Google Voice,https://catalog.appdirect.com/en-US/apps/245732/google-voice,245732,"Google Voice
Easy-to-use phone solution to stay connected and organized on tasks on all your devices.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/245732/thumbs_64/img8270510583479383699.png
Software,Google Voice,,,,
Software,Google Voice,,,,
Software,Google Voice,,,"Google Voice
Easy-to-use phone solution to stay connected and organized on tasks on all your devices.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/245732/thumbs_64/img8270510583479383699.png
Software,Google Voice,,,"Google Voice
Easy-to-use phone solution to stay connected and organized on tasks on all your devices.",
Software,Google Voice,,,"Google Voice
Easy-to-use phone solution to stay connected and organized on tasks on all your devices.",
Software,Google Voice,,,,
Software,Google Voice,,,,
Software,Easy-to-use phone solution to stay connected and organized on tasks on all your devices.,,,,
Software,From $10.00 / Month,,,,
Software,(121),,,,
Software,(121),,,,
Software,Compare,,,,
Software,Google Workspace,https://catalog.appdirect.com/en-US/apps/234576/google-workspace,234576,"Google Workspace
Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/234576/thumbs_64/img6675920178289228770.png
Software,Google Workspace,,,,
Software,Google Workspace,,,,
Software,Google Workspace,,,"Google Workspace
Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/234576/thumbs_64/img6675920178289228770.png
Software,Google Workspace,,,"Google Workspace
Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",https://d3bql97l1ytoxn.cloudfront.net/common_resources/badge/0af0e01c-5c06-4bbb-9da1-214428362bdf/img7972380461864714752.png?0a566604eb8930fa19c2275dddec67fd
Software,Google Workspace,,,"Google Workspace
Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",https://d3bql97l1ytoxn.cloudfront.net/common_resources/badge/0af0e01c-5c06-4bbb-9da1-214428362bdf/img7972380461864714752.png?0a566604eb8930fa19c2275dddec67fd
Software,Google Workspace,,,,
Software,Google Workspace,,,,
Software,"Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",,,,
Software,From $5.00 / Month,,,,
Software,(31421),,,,
Software,(31421),,,,
Software,Compare,,,,
Software,Microsoft Entra ID,https://catalog.appdirect.com/en-US/apps/347340/microsoft-entra-id,347340,"Microsoft Entra ID
Manage user identities and create intelligence-driven access policies to secure your resources.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/customizations/APPSMART/347340/thumbs_64/img4873860488553777602.png?b32879a664f64742c32acbec61dd2064
Software,Microsoft Entra ID,,,,
Software,Microsoft Entra ID,,,,
Software,Microsoft Entra ID,,,"Microsoft Entra ID
Manage user identities and create intelligence-driven access policies to secure your resources.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/customizations/APPSMART/347340/thumbs_64/img4873860488553777602.png?b32879a664f64742c32acbec61dd2064
Software,Microsoft Entra ID,,,"Microsoft Entra ID
Manage user identities and create intelligence-driven access policies to secure your resources.",
Software,Microsoft Entra ID,,,"Microsoft Entra ID
Manage user identities and create intelligence-driven access policies to secure your resources.",
Software,Microsoft Entra ID,,,,
Software,Microsoft Entra ID,,,,
